=== Font Debug Output (PID: 84546) ===
Total fonts: 977

 143: Apple Braille | /System/Library/Fonts/Apple Braille Pinpoint 6 Dot.ttf | idx=0 | Normal-400-FontStretch(1000)
 144: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=0 | Normal-400-FontStretch(1000)
 145: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=1 | Normal-600-FontStretch(1000)
 146: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=2 | Normal-500-FontStretch(1000)
 147: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=3 | Normal-300-FontStretch(1000)
 148: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=4 | Normal-200-FontStretch(1000)
 149: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=5 | Normal-800-FontStretch(1000)
 150: MuktaMahee | /System/Library/Fonts/MuktaMahee.ttc | idx=6 | Normal-700-FontStretch(1000)
 151: New York | /System/Library/Fonts/NewYork.ttf | idx=0 | Normal-400-FontStretch(1000)
 152: SF NS Mono | /System/Library/Fonts/SFNSMonoItalic.ttf | idx=0 | Italic-295-FontStretch(1000)
 153: SF NS | /System/Library/Fonts/SFNS.ttf | idx=0 | Normal-400-FontStretch(1000)
 154: SF Camera | /System/Library/Fonts/SFCamera.ttf | idx=0 | Normal-400-FontStretch(1000)
 155: Avenir Book | /System/Library/Fonts/Avenir.ttc | idx=0 | Normal-400-FontStretch(1000)
 156: Avenir Book | /System/Library/Fonts/Avenir.ttc | idx=1 | Italic-400-FontStretch(1000)
 157: Avenir | /System/Library/Fonts/Avenir.ttc | idx=2 | Normal-800-FontStretch(1000)
 158: Avenir | /System/Library/Fonts/Avenir.ttc | idx=3 | Italic-800-FontStretch(1000)
 159: Avenir | /System/Library/Fonts/Avenir.ttc | idx=4 | Normal-900-FontStretch(1000)
 160: Avenir | /System/Library/Fonts/Avenir.ttc | idx=5 | Italic-900-FontStretch(1000)
 161: Avenir | /System/Library/Fonts/Avenir.ttc | idx=6 | Normal-300-FontStretch(1000)
 162: Avenir | /System/Library/Fonts/Avenir.ttc | idx=7 | Italic-300-FontStretch(1000)
 163: Avenir | /System/Library/Fonts/Avenir.ttc | idx=8 | Normal-500-FontStretch(1000)
 164: Avenir | /System/Library/Fonts/Avenir.ttc | idx=9 | Italic-500-FontStretch(1000)
 165: Avenir | /System/Library/Fonts/Avenir.ttc | idx=10 | Italic-400-FontStretch(1000)
 166: Avenir | /System/Library/Fonts/Avenir.ttc | idx=11 | Normal-400-FontStretch(1000)
 167: Kohinoor Devanagari | /System/Library/Fonts/Kohinoor.ttc | idx=0 | Normal-400-FontStretch(1000)
 168: Kohinoor Devanagari | /System/Library/Fonts/Kohinoor.ttc | idx=1 | Normal-500-FontStretch(1000)
 169: Kohinoor Devanagari | /System/Library/Fonts/Kohinoor.ttc | idx=2 | Normal-600-FontStretch(1000)
 170: Kohinoor Devanagari | /System/Library/Fonts/Kohinoor.ttc | idx=3 | Normal-700-FontStretch(1000)
 171: Kohinoor Devanagari | /System/Library/Fonts/Kohinoor.ttc | idx=4 | Normal-300-FontStretch(1000)
 172: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=0 | Normal-900-FontStretch(1000)
 173: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=1 | Normal-700-FontStretch(1000)
